cluster	Sheep_MAG	NHP	RUG	Uhgg	RGIG
clu_212	0	0	0	1	0
clu_213	0	0	0	1	0
clu_214	0	0	0	1	0
clu_215	0	0	0	1	0
clu_216	0	0	0	1	0
clu_217	0	0	0	1	0
clu_218	0	0	0	1	0
clu_219	0	0	0	1	0
clu_220	0	0	0	1	0
clu_221	0	0	0	1	0
clu_222	0	0	0	1	0
clu_223	0	0	0	1	0
clu_224	0	0	0	1	0
clu_225	0	0	0	1	0
clu_226	0	0	0	1	0
clu_227	0	0	0	1	0
clu_228	0	0	0	1	0
clu_229	0	0	0	1	0
clu_230	0	0	0	1	0
clu_231	0	0	0	0	1
clu_232	0	0	0	1	0
clu_233	0	0	0	1	0
clu_234	0	0	0	1	0
clu_235	0	0	0	1	0
clu_236	0	0	0	1	0
clu_237	0	0	0	1	0
clu_238	0	0	0	1	0
clu_239	0	0	0	1	0
clu_240	0	0	0	1	0
clu_241	0	0	0	1	0
clu_242	0	0	0	1	0
clu_243	0	0	0	1	0
clu_244	0	0	0	1	0
clu_245	0	0	0	0	1
clu_246	0	0	0	1	0
clu_247	0	0	0	1	0
clu_248	0	0	0	1	0
clu_249	0	0	0	1	0
clu_250	0	0	0	1	0
clu_251	0	0	0	1	0
clu_252	0	1	0	0	0
clu_253	0	0	0	1	0
clu_254	0	0	0	1	0
clu_255	0	0	0	1	0
clu_256	0	0	0	1	0
clu_257	0	0	0	1	0
clu_258	0	0	0	1	0
clu_259	0	0	0	1	0
clu_260	0	0	0	1	0
clu_261	0	0	0	0	1
clu_262	0	0	0	0	1
clu_263	0	0	0	0	1
clu_264	0	0	0	0	1
clu_265	0	0	1	0	0
clu_266	0	0	1	0	1
clu_267	0	0	0	0	1
clu_268	0	0	0	0	1
clu_269	0	0	1	0	0
clu_270	0	0	1	0	0
clu_271	0	0	0	0	1
clu_272	0	0	1	0	1
clu_273	0	0	1	0	0
clu_274	0	0	1	0	0
clu_275	0	0	0	0	1
clu_276	0	0	0	0	1
clu_277	0	0	0	0	1
clu_278	1	0	0	0	0
clu_279	1	0	0	0	0
clu_280	0	0	0	0	1
clu_281	0	0	0	0	1
clu_282	1	0	0	0	1
clu_283	0	0	0	0	1
clu_284	0	0	0	0	1
clu_285	0	0	0	0	1
clu_286	1	0	0	0	1
clu_287	1	0	0	0	0
clu_288	1	0	0	0	1
clu_289	1	0	0	0	0
clu_290	1	0	0	0	0
clu_291	0	0	0	0	1
clu_292	1	0	0	0	0
clu_293	0	0	1	0	1
clu_294	0	0	1	0	0
clu_295	0	0	0	0	1
clu_296	0	0	0	0	1
clu_297	0	0	0	0	1
clu_298	0	0	0	0	1
clu_299	0	0	1	0	0
clu_300	1	0	0	0	1
clu_301	1	0	0	0	1
clu_302	1	0	0	0	1
clu_303	0	0	0	0	1
clu_304	0	0	0	0	1
clu_305	0	0	0	0	1
clu_306	0	0	0	0	1
clu_307	0	0	0	0	1
clu_308	1	0	0	0	0
clu_309	1	0	0	0	1
clu_310	1	0	0	0	0
clu_311	0	0	0	0	1
clu_312	0	0	0	0	1
clu_313	0	0	0	0	1
clu_314	0	0	0	0	1
clu_315	0	0	0	0	1
