Estimated genomic size	GC content	Phylum
1.931085905	41.97	Bacteroidetes
2.306107966	34.95	Bacteroidetes
2.086287634	50.32	Bacteroidetes
1.82109749	49.76	Bacteroidetes
2.581622662	37.69	Bacteroidetes
1.895130554	43.62	Bacteroidetes
2.342320064	37.24	Bacteroidetes
2.742557124	37.71	Bacteroidetes
2.456294766	44.12	Bacteroidetes
3.16316305	43.05	Bacteroidetes
3.301720837	46.88	Bacteroidetes
3.087946586	48	Bacteroidetes
3.4740387	48.97	Bacteroidetes
3.247847849	49.11	Bacteroidetes
2.655812096	46.2	Bacteroidetes
3.001850749	48.24	Bacteroidetes
3.286662458	48.47	Bacteroidetes
3.214424003	49.03	Bacteroidetes
3.640421687	44.39	Bacteroidetes
2.621543444	51.13	Bacteroidetes
3.397477043	45.32	Bacteroidetes
2.515721649	44.63	Bacteroidetes
2.465953854	41.11	Bacteroidetes
2.928493233	47.55	Bacteroidetes
2.427237067	51.15	Bacteroidetes
2.7652988	49.19	Bacteroidetes
2.511950385	48.21	Bacteroidetes
2.999308	46.08	Bacteroidetes
2.721227219	50.46	Bacteroidetes
2.320111478	49.56	Bacteroidetes
2.14355	49.27	Bacteroidetes
2.14701311	50.54	Bacteroidetes
2.044767418	47.58	Bacteroidetes
3.170836052	48.61	Bacteroidetes
3.140199593	47.83	Bacteroidetes
2.300314969	46.01	Bacteroidetes
2.090063525	47.84	Bacteroidetes
2.051142945	49.7	Bacteroidetes
2.160462477	47.48	Bacteroidetes
1.945688761	50.04	Bacteroidetes
2.199229619	44.88	Bacteroidetes
2.153840647	45.94	Bacteroidetes
2.315379975	44	Bacteroidetes
3.171304348	49	Bacteroidetes
2.743498571	47.28	Bacteroidetes
2.970951548	60.14	Bacteroidetes
3.00569711	59.51	Bacteroidetes
2.649310006	49.45	Bacteroidetes
4.023220024	47.16	Bacteroidetes
3.446856222	59.89	Bacteroidetes
2.66826672	46.32	Bacteroidetes
1.984882611	47.63	Bacteroidetes
2.161997171	55.33	Bacteroidetes
1.904011784	50.29	Bacteroidetes
1.95453137	46.98	Bacteroidetes
2.270973775	42.34	Bacteroidetes
2.262829135	49.59	Bacteroidetes
1.828327896	52.19	Bacteroidetes
2.354033944	46.71	Bacteroidetes
2.605319749	47.55	Bacteroidetes
2.118692482	50.05	Bacteroidetes
1.735283743	48.35	Bacteroidetes
2.063930043	49.5	Bacteroidetes
1.900194	49.07	Bacteroidetes
2.106938245	49.2	Bacteroidetes
