SGBs	phylum	AH	GX	JL	SD	SX	XZ
AH3.bin110	Firmicutes	0	1	0	0	0	0
AH3.bin111	Firmicutes	0	0	0	0	0	0
AH3.bin113	Firmicutes	1	1	0	1	1	0
AH3.bin114	Firmicutes	0	0	0	0	0	0
AH3.bin115	Euryarchaeota	0	0	0	0	1	1
AH3.bin118	Firmicutes	0	1	0	1	0	0
AH3.bin119	Firmicutes	1	0	0	1	1	0
AH3.bin120	Firmicutes	1	1	0	1	0	1
AH3.bin121	Firmicutes	0	0	0	0	0	0
AH3.bin122	Firmicutes	1	0	0	1	1	1
AH3.bin123	Firmicutes	0	0	0	0	0	0
AH3.bin124	Firmicutes	1	0	0	0	0	0
AH3.bin125	Firmicutes	0	1	0	1	1	1
AH3.bin127	Firmicutes	0	0	0	1	0	0
AH3.bin128	Firmicutes	1	0	0	0	0	0
AH3.bin129	Firmicutes	1	0	0	0	0	0
AH3.bin130	Firmicutes	1	0	0	1	1	1
AH3.bin131	Firmicutes	0	0	0	0	1	0
AH3.bin133	Firmicutes	0	0	0	0	0	0
AH3.bin135	Firmicutes	0	0	0	0	0	0
AH3.bin137	Firmicutes	1	0	0	1	0	1
AH3.bin138	Firmicutes	0	0	0	0	1	0
AH3.bin140	Firmicutes	0	0	0	0	0	0
AH3.bin142	Bacteroidetes	1	1	1	1	1	1
AH3.bin147	Firmicutes	0	1	0	1	0	0
AH3.bin148	Firmicutes	1	1	1	1	1	1
AH3.bin149	Firmicutes	1	0	1	1	1	0
AH3.bin150	Firmicutes	0	0	0	0	0	0
AH3.bin151	Proteobacteria	0	0	0	0	0	0
AH3.bin153	Firmicutes	0	0	0	0	0	0
AH3.bin155	Firmicutes	0	0	0	0	0	0
AH3.bin159	Spirochaetes	1	0	0	0	1	0
AH3.bin160	Lentisphaerae	0	0	0	1	0	0
AH3.bin161	Firmicutes	0	0	0	1	0	1
AH3.bin162	Firmicutes	1	1	1	1	1	1
AH3.bin163	Firmicutes	1	1	1	1	1	1
AH3.bin168	Firmicutes	0	0	0	0	0	0
AH3.bin169	Firmicutes	0	0	0	0	0	0
AH3.bin170	Proteobacteria	0	0	0	0	0	0
AH3.bin171	Firmicutes	1	1	0	1	1	1
AH3.bin177	Firmicutes	0	0	1	0	1	0
AH3.bin178	Firmicutes	1	1	0	1	1	1
AH3.bin179	Firmicutes	0	0	0	0	0	0
AH3.bin180	Firmicutes	0	0	0	0	0	0
AH3.bin183	Firmicutes	0	0	0	0	0	0
AH3.bin184	Firmicutes	0	0	0	0	0	0
AH3.bin185	Verrucomicrobia	0	0	0	0	0	0
AH3.bin186	Firmicutes	0	0	0	0	0	0
AH3.bin187	Firmicutes	1	1	0	1	1	1
AH3.bin188	Firmicutes	0	0	0	1	0	0
AH3.bin190	Firmicutes	1	1	1	1	1	0
AH3.bin191	Lentisphaerae	0	0	0	1	1	0
AH3.bin192	Firmicutes	1	1	0	1	0	1
AH3.bin193	Firmicutes	0	0	0	0	0	0
AH3.bin195	Firmicutes	0	0	0	0	0	0
AH3.bin197	Firmicutes	0	0	0	1	1	0
AH3.bin198	Firmicutes	1	0	0	1	0	0
AH3.bin200	Firmicutes	0	0	0	0	0	0
AH3.bin201	Firmicutes	0	0	0	0	0	0
AH3.bin203	Firmicutes	0	0	0	0	0	1
AH3.bin206	Firmicutes	0	1	0	0	0	0
AH3.bin207	Firmicutes	1	0	0	1	0	0
AH3.bin208	Firmicutes	0	0	0	0	0	0
AH3.bin209	Firmicutes	0	0	0	0	0	0
AH3.bin210	Firmicutes	0	0	0	0	0	0
AH3.bin213	Firmicutes	1	1	0	1	1	1
AH3.bin215	Firmicutes	0	0	0	0	0	0
AH3.bin216	Firmicutes	1	0	0	0	0	0
AH3.bin217	Firmicutes	0	0	0	0	0	0
AH3.bin220	Firmicutes	0	0	0	0	0	0
AH4.bin001	Firmicutes	0	0	0	0	0	0
AH4.bin002	Firmicutes	1	0	0	0	0	0
AH4.bin003	Firmicutes	0	0	0	0	0	0
AH4.bin004	Firmicutes	0	0	0	0	0	0
AH4.bin006	Firmicutes	0	0	0	0	0	0
AH4.bin007	Euryarchaeota	0	0	0	0	0	0
AH4.bin008	Firmicutes	1	1	1	1	1	1
AH4.bin009	Firmicutes	1	1	1	0	1	1
AH4.bin012	Euryarchaeota	0	0	0	0	0	0
AH4.bin013	Firmicutes	1	1	1	0	0	0
AH4.bin014	Firmicutes	0	0	1	0	0	0
AH4.bin016	Firmicutes	0	0	0	0	0	0
AH4.bin020	Firmicutes	0	0	0	0	0	0
AH4.bin021	Firmicutes	0	0	0	0	0	0
AH4.bin022	Firmicutes	0	0	0	0	0	0
AH4.bin025	Firmicutes	0	0	0	0	0	0
AH4.bin026	Euryarchaeota	1	1	1	1	1	1
AH4.bin029	Candidatus Melainabacteria	1	0	0	1	0	0
AH4.bin030	Spirochaetes	0	0	0	0	0	0
AH4.bin031	Planctomycetes	1	0	1	1	1	0
AH4.bin032	Firmicutes	1	0	0	0	0	0
AH4.bin033	Firmicutes	0	0	1	0	1	0
AH4.bin034	Firmicutes	0	0	0	0	0	0
AH4.bin035	Firmicutes	0	0	0	0	0	0
AH4.bin036	Candidatus Saccharibacteria	0	0	0	0	0	0
AH4.bin038	Firmicutes	1	0	1	1	1	1
AH4.bin039	Firmicutes	0	0	0	0	0	0
AH4.bin042	Firmicutes	1	1	0	1	1	1
AH4.bin043	Firmicutes	1	0	0	1	1	1
AH4.bin048	Firmicutes	0	0	0	0	0	0
AH4.bin049	Firmicutes	1	1	1	1	1	1
AH4.bin051	Firmicutes	0	1	0	0	0	0
AH4.bin052	Firmicutes	0	0	0	0	0	0
AH4.bin053	Firmicutes	0	0	0	0	0	0
AH4.bin054	Firmicutes	0	0	0	0	0	0
AH4.bin056	Firmicutes	0	0	0	0	0	0
AH4.bin058	Firmicutes	1	0	1	1	1	1
AH4.bin059	Firmicutes	0	0	0	0	1	0
AH4.bin060	Firmicutes	1	1	0	1	0	0
AH4.bin062	Firmicutes	0	0	0	0	0	0
AH4.bin064	Firmicutes	1	1	1	0	0	0
AH4.bin066	Firmicutes	1	0	0	0	0	0
AH4.bin067	Bacteroidetes	1	1	1	1	1	1
AH4.bin068	Firmicutes	1	1	1	0	1	0
AH4.bin070	Firmicutes	0	0	0	0	0	0
AH4.bin071	Firmicutes	1	0	0	0	0	0
AH4.bin072	Firmicutes	0	0	1	0	0	0
AH4.bin073	Firmicutes	1	1	1	1	1	1
AH4.bin074	Firmicutes	0	0	0	0	0	1
AH4.bin076	Firmicutes	0	0	0	0	0	0
AH4.bin077	Firmicutes	0	0	0	0	0	0
AH4.bin078	Firmicutes	1	0	0	0	0	0
AH4.bin079	Firmicutes	0	0	0	0	0	0
AH4.bin080	Firmicutes	0	0	0	0	0	0
AH4.bin083	Firmicutes	0	0	0	0	0	0
AH4.bin084	Firmicutes	1	1	1	1	1	1
AH4.bin085	Firmicutes	0	0	0	0	0	0
AH4.bin086	Firmicutes	0	1	0	0	0	0
AH4.bin087	Firmicutes	1	1	0	0	0	0
AH4.bin088	Firmicutes	0	0	0	0	0	0
AH4.bin089	Firmicutes	0	0	0	0	1	1
AH4.bin090	Firmicutes	1	1	0	0	1	1
AH4.bin092	Firmicutes	0	0	0	0	0	0
AH4.bin093	Firmicutes	0	0	0	0	0	0
AH4.bin094	Firmicutes	0	0	0	0	0	0
AH4.bin095	Firmicutes	0	0	0	0	1	0
AH4.bin098	Firmicutes	0	0	0	0	0	0
AH4.bin099	Firmicutes	1	0	1	0	0	0
AH4.bin101	Firmicutes	0	0	0	0	0	0
AH4.bin106	Firmicutes	1	1	0	0	0	0
AH4.bin107	Actinobacteria	1	0	0	1	1	1
AH4.bin108	Firmicutes	1	0	0	0	0	0
AH4.bin109	Firmicutes	0	0	0	0	0	0
AH4.bin110	Firmicutes	0	0	0	0	0	0
AH4.bin111	Firmicutes	0	0	0	0	0	0
AH4.bin113	Firmicutes	0	1	0	0	0	0
AH4.bin114	Firmicutes	1	0	1	0	1	1
AH4.bin117	Firmicutes	0	0	0	0	0	0
AH4.bin118	Firmicutes	0	0	1	0	1	0
AH4.bin119	Firmicutes	0	0	0	0	0	0
AH4.bin120	Firmicutes	1	0	0	1	0	0
AH4.bin122	Firmicutes	0	0	0	0	0	0
AH4.bin123	Firmicutes	0	0	0	0	0	0
AH4.bin124	Firmicutes	0	0	0	0	0	0
AH4.bin125	Firmicutes	1	1	1	1	1	1
AH4.bin126	Firmicutes	0	0	1	0	0	0
AH4.bin128	Firmicutes	1	1	0	1	1	0
AH4.bin129	Firmicutes	0	0	0	0	0	0
AH4.bin130	Firmicutes	1	0	1	1	0	0
AH4.bin131	Firmicutes	1	1	0	1	0	1
AH4.bin132	Firmicutes	1	1	0	1	0	0
AH4.bin133	Firmicutes	1	1	0	1	1	1
AH4.bin135	Bacteroidetes	1	1	1	1	1	0
AH4.bin136	Actinobacteria	1	0	0	0	0	0
AH4.bin138	Firmicutes	0	0	1	0	0	0
AH4.bin141	Firmicutes	1	0	1	0	1	0
AH4.bin142	Firmicutes	1	1	0	0	0	0
AH4.bin143	Firmicutes	0	0	0	0	0	0
AH4.bin145	Firmicutes	1	0	0	0	0	0
AH4.bin146	Firmicutes	1	1	1	1	1	1
AH4.bin148	Firmicutes	1	1	0	1	0	1
AH4.bin149	Firmicutes	1	1	0	1	1	1
AH4.bin150	Firmicutes	1	0	1	1	1	0
AH4.bin151	Firmicutes	0	0	0	0	0	0
AH4.bin153	Firmicutes	1	0	0	0	0	0
AH4.bin154	Bacteroidetes	1	1	1	1	1	1
AH4.bin157	Firmicutes	1	0	0	0	0	1
AH4.bin158	Firmicutes	1	0	0	0	0	0
AH4.bin159	Proteobacteria	1	0	0	1	0	0
AH4.bin161	Firmicutes	0	0	0	0	0	0
AH4.bin162	Firmicutes	1	0	0	0	0	0
AH4.bin164	Firmicutes	1	0	0	0	0	0
